,child_name,same_num_trials,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,Unnamed: 16
67,FCKcA5,False,271728.0,310045.0,68.0,297432.0,306067.0,y,38317.0,,,,,,,,,,,,,,,,
68,FCKcA5,False,271728.0,310045.0,69.0,306068.0,309365.0,n,38317.0,,,,,,,,,,,,,,,,
69,FCKcA5,False,271728.0,310045.0,70.0,309366.0,310045.0,y,38317.0,,,,,,,,,,,,,,,,
70,FCKcA5,False,310046.0,364547.0,71.0,310046.0,316335.0,y,54501.0,,,,,,,,,,,,,,,,
71,FCKcA5,False,310046.0,364547.0,72.0,316336.0,318953.0,n,54501.0,,,,,,,,,,,,,,,,
72,FCKcA5,False,310046.0,364547.0,73.0,318954.0,336735.0,y,54501.0,,,,,,,,,,,,,,,,
73,FCKcA5,False,310046.0,364547.0,74.0,336736.0,339761.0,n,54501.0,,,,,,,,,,,,,,,,
74,FCKcA5,False,310046.0,364547.0,75.0,339762.0,346799.0,y,54501.0,,,,,,,,,,,,,,,,
75,FCKcA5,False,310046.0,364547.0,76.0,346800.0,349587.0,n,54501.0,,,,,,,,,,,,,,,,
76,FCKcA5,False,310046.0,364547.0,77.0,349588.0,351253.0,y,54501.0,,,,,,,,,,,,,,,,
77,FCKcA5,False,310046.0,364547.0,78.0,351254.0,353939.0,n,54501.0,,,,,,,,,,,,,,,,
78,FCKcA5,False,310046.0,364547.0,79.0,353940.0,356897.0,y,54501.0,,,,,,,,,,,,,,,,
79,FCKcA5,False,310046.0,364547.0,80.0,356898.0,357679.0,n,54501.0,,,,,,,,,,,,,,,,
80,FCKcA5,False,310046.0,364547.0,81.0,357680.0,364547.0,y,54501.0,,,,,,,,,,,,,,,,
82,FCKcA5,False,373014.0,404735.0,83.0,373014.0,376549.0,y,31721.0,,,,,,,,,,,,,,,,
83,FCKcA5,False,373014.0,404735.0,84.0,376550.0,379337.0,n,31721.0,,,,,,,,,,,,,,,,
84,FCKcA5,False,373014.0,404735.0,85.0,379338.0,393651.0,y,31721.0,,,,,,,,,,,,,,,,
85,FCKcA5,False,373014.0,404735.0,86.0,393652.0,404735.0,n,31721.0,,,,,,,,,,,,,,,,
86,FCKcA5,False,404736.0,452131.0,87.0,404736.0,409869.0,y,47395.0,,,,,,,,,,,,,,,,
87,FCKcA5,False,404736.0,452131.0,88.0,409870.0,411739.0,n,47395.0,,,,,,,,,,,,,,,,
88,FCKcA5,False,404736.0,452131.0,89.0,411740.0,413337.0,y,47395.0,,,,,,,,,,,,,,,,
89,FCKcA5,False,404736.0,452131.0,90.0,413338.0,417179.0,n,47395.0,,,,,,,,,,,,,,,,
90,FCKcA5,False,404736.0,452131.0,91.0,417180.0,421123.0,y,47395.0,,,,,,,,,,,,,,,,
91,FCKcA5,False,404736.0,452131.0,92.0,421124.0,435029.0,n,47395.0,,,,,,,,,,,,,,,,
92,FCKcA5,False,404736.0,452131.0,93.0,435030.0,437001.0,y,47395.0,,,,,,,,,,,,,,,,
93,FCKcA5,False,404736.0,452131.0,94.0,437002.0,437817.0,n,47395.0,,,,,,,,,,,,,,,,
94,FCKcA5,False,404736.0,452131.0,95.0,437818.0,439347.0,y,47395.0,,,,,,,,,,,,,,,,
95,FCKcA5,False,404736.0,452131.0,96.0,439348.0,444821.0,n,47395.0,,,,,,,,,,,,,,,,
96,FCKcA5,False,404736.0,452131.0,97.0,444822.0,448561.0,y,47395.0,,,,,,,,,,,,,,,,
97,FCKcA5,False,404736.0,452131.0,98.0,448562.0,452131.0,n,47395.0,,,,,,,,,,,,,,,,
99,FCKcA5,False,455770.0,487117.0,100.0,455770.0,461923.0,y,31347.0,,,,,,,,,,,,,,,,
100,FCKcA5,False,455770.0,487117.0,101.0,461924.0,463249.0,n,31347.0,,,,,,,,,,,,,,,,
101,FCKcA5,False,455770.0,487117.0,102.0,463250.0,464099.0,y,31347.0,,,,,,,,,,,,,,,,
102,FCKcA5,False,455770.0,487117.0,103.0,464100.0,465663.0,n,31347.0,,,,,,,,,,,,,,,,
103,FCKcA5,False,455770.0,487117.0,104.0,465664.0,485553.0,y,31347.0,,,,,,,,,,,,,,,,
104,FCKcA5,False,455770.0,487117.0,105.0,485554.0,487117.0,n,31347.0,,,,,,,,,,,,,,,,
105,FCKcA5,False,487118.0,532879.0,106.0,487118.0,491061.0,y,45761.0,,,,,,,,,,,,,,,,
106,FCKcA5,False,487118.0,532879.0,107.0,491062.0,499153.0,n,45761.0,,,,,,,,,,,,,,,,
107,FCKcA5,False,487118.0,532879.0,108.0,499154.0,501363.0,y,45761.0,,,,,,,,,,,,,,,,
108,FCKcA5,False,487118.0,532879.0,109.0,501364.0,508095.0,n,45761.0,,,,,,,,,,,,,,,,
109,FCKcA5,False,487118.0,532879.0,110.0,508096.0,512345.0,y,45761.0,,,,,,,,,,,,,,,,
110,FCKcA5,False,487118.0,532879.0,111.0,512346.0,514623.0,n,45761.0,,,,,,,,,,,,,,,,
111,FCKcA5,False,487118.0,532879.0,112.0,514624.0,516901.0,y,45761.0,,,,,,,,,,,,,,,,
112,FCKcA5,False,487118.0,532879.0,113.0,516902.0,519009.0,n,45761.0,,,,,,,,,,,,,,,,
113,FCKcA5,False,487118.0,532879.0,114.0,519010.0,521287.0,y,45761.0,,,,,,,,,,,,,,,,
114,FCKcA5,False,487118.0,532879.0,115.0,521288.0,525435.0,n,45761.0,,,,,,,,,,,,,,,,
115,FCKcA5,False,487118.0,532879.0,116.0,525436.0,527441.0,y,45761.0,,,,,,,,,,,,,,,,
116,FCKcA5,False,487118.0,532879.0,117.0,527442.0,528937.0,n,45761.0,,,,,,,,,,,,,,,,
117,FCKcA5,False,487118.0,532879.0,118.0,528938.0,530331.0,y,45761.0,,,,,,,,,,,,,,,,
118,FCKcA5,False,487118.0,532879.0,119.0,530332.0,532879.0,n,45761.0,,,,,,,,,,,,,,,,
1,QdY3DB,False,5412.0,39005.0,2.0,5412.0,39005.0,y,33593.0,40855.00000000001,85973.0,45117.99999999999,11524.999999999993,35443.00000000001,46968.0,,,,,,,,,,
2,QdY3DB,False,39006.0,86921.0,3.0,39006.0,86921.0,y,47915.0,91163.00000000001,122204.00000000001,31041.0,-16874.0,52157.000000000015,35283.000000000015,,,,,,,,,,
4,QdY3DB,False,91344.0,123221.0,5.0,91344.0,95633.0,y,31877.0,179332.00000000003,217310.0,37977.99999999997,6100.999999999971,87988.00000000003,94089.0,,,,,,,,,,
5,QdY3DB,False,91344.0,123221.0,6.0,95634.0,96557.0,n,31877.0,219937.0,265088.0,45151.0,13274.0,128593.0,141867.0,,,,,,,,,,
6,QdY3DB,False,91344.0,123221.0,7.0,96558.0,123221.0,y,31877.0,270205.00000000006,300032.00000000006,29827.0,-2050.0,178861.00000000006,176811.00000000006,,,,,,,,,,
7,QdY3DB,False,123222.0,172721.0,8.0,123222.0,172721.0,y,49499.0,302645.00000000006,347850.0,45204.99999999994,-4294.000000000058,179423.00000000006,175129.0,,,,,,,,,,
9,QdY3DB,False,179388.0,218657.0,10.0,179388.0,218657.0,y,39269.0,,,,,,,,,,,,,,,,
10,QdY3DB,False,218658.0,266243.0,11.0,218658.0,263603.0,y,47585.0,,,,,,,,,,,,,,,,
11,QdY3DB,False,218658.0,266243.0,12.0,263604.0,265913.0,n,47585.0,,,,,,,,,,,,,,,,
12,QdY3DB,False,218658.0,266243.0,13.0,265914.0,266243.0,y,47585.0,,,,,,,,,,,,,,,,
14,QdY3DB,False,270072.0,301091.0,15.0,270072.0,301091.0,y,31019.0,,,,,,,,,,,,,,,,
15,QdY3DB,False,301092.0,349667.0,16.0,301092.0,320825.0,y,48575.0,,,,,,,,,,,,,,,,
16,QdY3DB,False,301092.0,349667.0,17.0,320826.0,325973.0,n,48575.0,,,,,,,,,,,,,,,,
17,QdY3DB,False,301092.0,349667.0,18.0,325974.0,332705.0,y,48575.0,,,,,,,,,,,,,,,,
18,QdY3DB,False,301092.0,349667.0,19.0,332706.0,338579.0,n,48575.0,,,,,,,,,,,,,,,,
19,QdY3DB,False,301092.0,349667.0,20.0,338580.0,341747.0,y,48575.0,,,,,,,,,,,,,,,,
20,QdY3DB,False,301092.0,349667.0,21.0,341748.0,343859.0,n,48575.0,,,,,,,,,,,,,,,,
21,QdY3DB,False,301092.0,349667.0,22.0,343860.0,349667.0,y,48575.0,,,,,,,,,,,,,,,,
0,24WJWG,True,,,,,,,47681.0,7130.000000000001,52272.00000000001,45142.00000000001,-2538.9999999999927,811.0000000000009,-1727.9999999999927,1.0,0.0,29039.0,30175.0,off,0.0,6319.0,54000.0,f,
1,24WJWG,True,,,,,,,47780.0,58282.0,103724.0,45442.0,-2338.0,62.0,-2276.0,,1.0,41000.0,42671.0,off,1.0,58220.0,106000.0,f,
2,24WJWG,True,,,,,,,40092.0,110245.0,148228.0,37983.0,-2109.0,337.0,-1772.0,,2.0,133000.0,134900.0,off,2.0,109908.0,150000.0,f,
3,24WJWG,True,,,,,,,45724.0,153955.0,199085.0,45130.0,-594.0,-896.0,-1490.0,,3.0,146686.0,149455.0,off,3.0,154851.0,200575.0,f,
4,24WJWG,True,,,,,,,40186.0,205024.0,244101.00000000003,39077.00000000003,-1108.999999999971,189.0,-919.9999999999709,,4.0,163797.0,165288.0,off,4.0,204835.0,245021.0,f,
5,24WJWG,True,,,,,,,24364.0,249594.00000000003,272262.0,22667.99999999997,-1696.000000000029,-41.999999999970896,-1738.0,,5.0,176000.0,178423.0,off,5.0,249636.0,274000.0,f,
6,24WJWG,True,,,,,,,40819.0,278085.00000000006,316344.0,38258.99999999994,-2560.000000000058,617.0000000000582,-1943.0,,6.0,189073.0,192836.0,off,6.0,277468.0,318287.0,f,
7,24WJWG,True,,,,,,,18944.0,322153.0,339569.0,17416.0,-1528.0,97.0,-1431.0,,7.0,227058.0,228762.0,off,7.0,322056.0,341000.0,f,
8,24WJWG,True,,,,,,,14194.0,343515.00000000006,355130.0,11614.999999999942,-2579.000000000058,940.0000000000582,-1639.0,,8.0,230000.0,231957.0,off,8.0,342575.0,356769.0,t,
9,24WJWG,True,,,,,,,29237.0,359063.00000000006,387727.00000000006,28664.0,-573.0,300.0000000000582,-272.9999999999418,,9.0,241826.0,245021.0,off,9.0,358763.0,388000.0,t,
10,24WJWG,True,,,,,,,10078.0,390682.0,400574.0,9892.0,-186.0,-244.0,-430.0,,10.0,257872.0,259150.0,off,10.0,390926.0,401004.0,t,
11,24WJWG,True,,,,,,,32163.0,403689.0,430394.0,26705.0,-5458.0,-17.0,-5475.0,,11.0,262416.0,265043.0,off,11.0,403706.0,435869.0,t,
0,QJN4US,True,,,,,,,45560.0,5367.0,50415.00000000001,45048.00000000001,-511.9999999999927,-39.0,-550.9999999999927,1.0,0.0,72338.0,74543.0,off,0.0,5406.0,50966.0,f,
1,QJN4US,True,,,,,,,45832.0,54935.0,99977.0,45042.0,-790.0,-281.0,-1071.0,,1.0,75004.0,76704.0,off,1.0,55216.0,101048.0,f,
2,QJN4US,True,,,,,,,45560.0,104631.0,149673.0,45042.0,-518.0,-429.0,-947.0,,2.0,82790.0,85986.0,off,2.0,105060.0,150620.0,f,
3,QJN4US,True,,,,,,,31076.0,154195.00000000003,185301.00000000003,31106.0,30.0,-334.9999999999709,-304.9999999999709,,3.0,94132.0,96832.0,off,3.0,154530.0,185606.0,f,
4,QJN4US,True,,,,,,,45696.0,189984.0,235028.00000000003,45044.00000000003,-651.9999999999709,-484.0,-1135.999999999971,,4.0,139114.0,141338.0,off,4.0,190468.0,236164.0,f,
5,QJN4US,True,,,,,,,45764.0,239534.00000000003,284575.00000000006,45041.00000000003,-722.9999999999709,-369.9999999999709,-1092.9999999999418,,5.0,180302.0,185606.0,off,5.0,239904.0,285668.0,f,
6,QJN4US,True,,,,,,,28764.0,289255.0,317917.00000000006,28662.00000000006,-101.99999999994179,-391.0,-492.9999999999418,,6.0,200056.0,202334.0,off,6.0,289646.0,318410.0,f,
7,QJN4US,True,,,,,,,45390.0,322760.00000000006,367803.0,45042.99999999994,-347.0000000000582,-477.9999999999418,-825.0,,7.0,205870.0,208556.0,off,7.0,323238.0,368628.0,f,
8,QJN4US,True,,,,,,,46056.0,370700.00000000006,415744.0,45043.99999999994,-1012.0000000000582,644.0000000000582,-368.0,,8.0,220252.0,221578.0,off,8.0,370056.0,416112.0,t,
9,QJN4US,True,,,,,,,46091.0,417967.00000000006,463011.0,45043.99999999994,-1047.0000000000582,311.0000000000582,-736.0,,9.0,224604.0,229636.0,off,9.0,417656.0,463747.0,t,
10,QJN4US,True,,,,,,,12172.0,465028.0,477605.0,12577.0,405.0,-636.0,-231.0,,10.0,233784.0,235164.0,off,10.0,465664.0,477836.0,t,
11,QJN4US,True,,,,,,,46716.0,479699.0,524750.0,45051.0,-1665.0,401.0,-1264.0,,11.0,255476.0,257312.0,off,11.0,479298.0,526014.0,t,
0,d5C2YU,True,,,,,,,45965.0,8457.0,53566.0,45109.0,-856.0,2567.0,1711.0,1.0,0.0,26905.0,30251.0,off,0.0,5890.0,51855.0,f,
1,d5C2YU,True,,,,,,,46425.0,58519.00000000001,103576.00000000001,45057.00000000001,-1367.9999999999927,188.00000000000728,-1179.9999999999854,,1.0,32392.0,35801.0,e,1.0,58331.0,104756.0,f,
2,d5C2YU,True,,,,,,,31983.0,108666.00000000001,139633.0,30966.999999999985,-1016.0000000000146,-427.99999999998545,-1444.0,,2.0,38127.0,39859.0,off,2.0,109094.0,141077.0,f,
3,d5C2YU,True,,,,,,,20829.0,144504.00000000003,163924.0,19419.99999999997,-1409.000000000029,-227.9999999999709,-1637.0,,3.0,50149.0,51855.0,off,3.0,144732.0,165561.0,f,
4,d5C2YU,True,,,,,,,17649.0,169128.0,185476.0,16348.0,-1301.0,-139.0,-1440.0,,4.0,63475.0,65456.0,e,4.0,169267.0,186916.0,f,
5,d5C2YU,True,,,,,,,38347.0,190422.00000000003,227980.00000000003,37558.0,-789.0,-770.9999999999709,-1559.999999999971,,5.0,67909.0,70019.0,off,5.0,191193.0,229540.0,f,
6,d5C2YU,True,,,,,,,10692.0,232925.0,243081.00000000003,10156.00000000003,-535.9999999999709,-426.0,-961.9999999999709,,6.0,85548.0,91405.0,off,6.0,233351.0,244043.0,f,
7,d5C2YU,True,,,,,,,8120.0,248324.0,254229.0,5905.0,-2215.0,-428.0,-2643.0,,7.0,95403.0,98721.0,off,7.0,248752.0,256872.0,f,
8,d5C2YU,True,,,,,,,14849.0,258829.0,270820.0,11991.0,-2858.0,1278.0,-1580.0,,8.0,114020.0,115539.0,off,8.0,257551.0,272400.0,t,
9,d5C2YU,True,,,,,,,36176.0,274330.00000000006,307975.0,33644.99999999994,-2531.000000000058,1282.0000000000582,-1249.0,,9.0,123350.0,124715.0,off,9.0,273048.0,309224.0,t,
1,YPA6WA,False,6298.0,38445.0,2.0,6298.0,7473.0,n,32147.0,39758.0,84889.00000000001,45131.000000000015,12984.000000000015,33460.0,46444.000000000015,,,,,,,,,,
2,YPA6WA,False,6298.0,38445.0,3.0,7474.0,19598.0,y,32147.0,90330.00000000001,120148.00000000001,29818.0,-2329.0,84032.00000000001,81703.00000000001,,,,,,,,,,
3,YPA6WA,False,6298.0,38445.0,4.0,19599.0,27353.0,n,32147.0,122925.00000000001,168120.0,45194.999999999985,13047.999999999985,116627.00000000001,129675.0,,,,,,,,,,
4,YPA6WA,False,6298.0,38445.0,5.0,27354.0,29421.0,y,32147.0,182166.00000000003,214632.0,32465.99999999997,318.9999999999709,175868.00000000003,176187.0,,,,,,,,,,
5,YPA6WA,False,6298.0,38445.0,6.0,29422.0,33745.0,n,32147.0,217517.00000000003,262705.00000000006,45188.00000000003,13041.00000000003,211219.00000000003,224260.00000000006,,,,,,,,,,
6,YPA6WA,False,6298.0,38445.0,7.0,33746.0,38445.0,y,32147.0,268124.0,306080.00000000006,37956.00000000006,5809.000000000058,261826.0,267635.00000000006,,,,,,,,,,
7,YPA6WA,False,38446.0,86432.0,8.0,38446.0,48503.0,y,47986.0,309196.0,354450.00000000006,45254.00000000006,-2731.999999999942,270750.0,268018.00000000006,,,,,,,,,,
8,YPA6WA,False,38446.0,86432.0,9.0,48504.0,50994.0,n,47986.0,,,,,,,,,,,,,,,,
9,YPA6WA,False,38446.0,86432.0,10.0,50995.0,59031.0,y,47986.0,,,,,,,,,,,,,,,,
10,YPA6WA,False,38446.0,86432.0,11.0,59032.0,61898.0,n,47986.0,,,,,,,,,,,,,,,,
11,YPA6WA,False,38446.0,86432.0,12.0,61899.0,68619.0,y,47986.0,,,,,,,,,,,,,,,,
12,YPA6WA,False,38446.0,86432.0,13.0,68620.0,71157.0,n,47986.0,,,,,,,,,,,,,,,,
13,YPA6WA,False,38446.0,86432.0,14.0,71158.0,86432.0,y,47986.0,,,,,,,,,,,,,,,,
15,YPA6WA,False,91180.0,122199.0,16.0,91180.0,98558.0,y,31019.0,,,,,,,,,,,,,,,,
16,YPA6WA,False,91180.0,122199.0,17.0,98559.0,109697.0,n,31019.0,,,,,,,,,,,,,,,,
17,YPA6WA,False,91180.0,122199.0,18.0,109698.0,122199.0,y,31019.0,,,,,,,,,,,,,,,,
18,YPA6WA,False,122200.0,172348.0,19.0,122200.0,139354.0,y,50148.0,,,,,,,,,,,,,,,,
19,YPA6WA,False,122200.0,172348.0,20.0,139355.0,144900.0,n,50148.0,,,,,,,,,,,,,,,,
20,YPA6WA,False,122200.0,172348.0,21.0,144901.0,151198.0,y,50148.0,,,,,,,,,,,,,,,,
21,YPA6WA,False,122200.0,172348.0,22.0,151199.0,153219.0,n,50148.0,,,,,,,,,,,,,,,,
22,YPA6WA,False,122200.0,172348.0,23.0,153220.0,172348.0,y,50148.0,,,,,,,,,,,,,,,,
24,YPA6WA,False,182360.0,216434.0,25.0,182360.0,216434.0,y,34074.0,,,,,,,,,,,,,,,,
25,YPA6WA,False,216435.0,264092.0,26.0,216435.0,225928.0,y,47657.0,,,,,,,,,,,,,,,,
26,YPA6WA,False,216435.0,264092.0,27.0,225929.0,239300.0,n,47657.0,,,,,,,,,,,,,,,,
27,YPA6WA,False,216435.0,264092.0,28.0,239301.0,243835.0,y,47657.0,,,,,,,,,,,,,,,,
28,YPA6WA,False,216435.0,264092.0,29.0,243836.0,244963.0,n,47657.0,,,,,,,,,,,,,,,,
29,YPA6WA,False,216435.0,264092.0,30.0,244964.0,246232.0,y,47657.0,,,,,,,,,,,,,,,,
30,YPA6WA,False,216435.0,264092.0,31.0,246233.0,249428.0,n,47657.0,,,,,,,,,,,,,,,,
31,YPA6WA,False,216435.0,264092.0,32.0,249429.0,250462.0,y,47657.0,,,,,,,,,,,,,,,,
32,YPA6WA,False,216435.0,264092.0,33.0,250463.0,252624.0,n,47657.0,,,,,,,,,,,,,,,,
33,YPA6WA,False,216435.0,264092.0,34.0,252625.0,254504.0,y,47657.0,,,,,,,,,,,,,,,,
34,YPA6WA,False,216435.0,264092.0,35.0,254505.0,256055.0,n,47657.0,,,,,,,,,,,,,,,,
35,YPA6WA,False,216435.0,264092.0,36.0,256056.0,262917.0,y,47657.0,,,,,,,,,,,,,,,,
36,YPA6WA,False,216435.0,264092.0,37.0,262918.0,264092.0,n,47657.0,,,,,,,,,,,,,,,,
38,YPA6WA,False,268746.0,308366.0,39.0,268746.0,277722.0,y,39620.0,,,,,,,,,,,,,,,,
39,YPA6WA,False,268746.0,308366.0,40.0,277723.0,293843.0,n,39620.0,,,,,,,,,,,,,,,,
40,YPA6WA,False,268746.0,308366.0,41.0,293844.0,301410.0,y,39620.0,,,,,,,,,,,,,,,,
41,YPA6WA,False,268746.0,308366.0,42.0,301411.0,308366.0,n,39620.0,,,,,,,,,,,,,,,,
42,YPA6WA,False,308367.0,357528.0,43.0,308367.0,312972.0,y,49161.0,,,,,,,,,,,,,,,,
43,YPA6WA,False,308367.0,357528.0,44.0,312973.0,317484.0,n,49161.0,,,,,,,,,,,,,,,,
44,YPA6WA,False,308367.0,357528.0,45.0,317485.0,318706.0,y,49161.0,,,,,,,,,,,,,,,,
45,YPA6WA,False,308367.0,357528.0,46.0,318707.0,320633.0,n,49161.0,,,,,,,,,,,,,,,,
46,YPA6WA,False,308367.0,357528.0,47.0,320634.0,331631.0,n,49161.0,,,,,,,,,,,,,,,,
47,YPA6WA,False,308367.0,357528.0,48.0,331632.0,357528.0,y,49161.0,,,,,,,,,,,,,,,,
1,HEc5NA,False,5474.0,38589.0,2.0,5474.0,16285.0,y,33115.0,38562.00000000001,83672.00000000001,45110.00000000001,11995.000000000007,33088.00000000001,45083.000000000015,,,,,,,,,,
2,HEc5NA,False,5474.0,38589.0,3.0,16286.0,18937.0,n,33115.0,89201.00000000001,127157.00000000001,37956.0,4841.0,83727.00000000001,88568.00000000001,,,,,,,,,,
3,HEc5NA,False,5474.0,38589.0,4.0,18938.0,22099.0,y,33115.0,129949.00000000001,175041.0,45091.999999999985,11976.999999999985,124475.00000000001,136452.0,,,,,,,,,,
4,HEc5NA,False,5474.0,38589.0,5.0,22100.0,34101.0,n,33115.0,204337.00000000003,235344.00000000003,31007.0,-2108.0,198863.00000000003,196755.00000000003,,,,,,,,,,
5,HEc5NA,False,5474.0,38589.0,6.0,34102.0,38589.0,y,33115.0,237984.0,283065.0,45081.0,11966.0,232510.0,244476.0,,,,,,,,,,
6,HEc5NA,False,38590.0,85747.0,7.0,38590.0,41853.0,y,47157.0,288856.0,321336.0,32480.0,-14677.0,250266.0,235589.0,,,,,,,,,,
7,HEc5NA,False,38590.0,85747.0,8.0,41854.0,52053.0,n,47157.0,324113.0,369266.0,45153.0,-2004.0,285523.0,283519.0,,,,,,,,,,
8,HEc5NA,False,38590.0,85747.0,9.0,52054.0,55113.0,y,47157.0,408839.0,438662.00000000006,29823.00000000006,-17333.99999999994,370249.0,352915.00000000006,,,,,,,,,,
9,HEc5NA,False,38590.0,85747.0,10.0,55114.0,63307.0,n,47157.0,441356.00000000006,486468.0,45111.99999999994,-2045.0000000000582,402766.00000000006,400721.0,,,,,,,,,,
10,HEc5NA,False,38590.0,85747.0,11.0,63308.0,85747.0,y,47157.0,492051.00000000006,530015.0,37963.99999999994,-9193.000000000058,453461.00000000006,444268.0,,,,,,,,,,
0,BJFJAM,True,,,,,,,46920.0,5650.0,50704.0,45054.0,-1866.0,856.0,-1010.0,1.0,0.0,5508.0,8670.0,e,0.0,4794.0,51714.0,f,
1,BJFJAM,True,,,,,,,21556.0,55254.00000000001,75980.0,20725.999999999993,-830.0000000000073,-29.999999999992724,-860.0,,1.0,11968.0,13328.0,e,1.0,55284.0,76840.0,f,
2,BJFJAM,True,,,,,,,43622.0,80625.0,123520.00000000001,42895.000000000015,-726.9999999999854,-91.0,-817.9999999999854,,2.0,16184.0,17782.0,e,2.0,80716.0,124338.0,f,
3,BJFJAM,True,,,,,,,31314.0,128105.00000000001,158512.0,30406.999999999985,-907.0000000000146,61.00000000001455,-846.0,,3.0,24582.0,26316.0,e,3.0,128044.0,159358.0,f,
4,BJFJAM,True,,,,,,,20672.0,163297.0,183291.00000000003,19994.00000000003,-677.9999999999709,-141.0,-818.9999999999709,,4.0,36958.0,38318.0,e,4.0,163438.0,184110.0,f,
5,BJFJAM,True,,,,,,,10186.0,187823.0,197518.0,9695.0,-491.0,109.0,-382.0,,5.0,46036.0,47926.0,e,5.0,187714.0,197900.0,f,
6,BJFJAM,True,,,,,,,9234.0,202084.0,211660.00000000003,9576.00000000003,342.0000000000291,-1032.0,-689.9999999999709,,6.0,64804.0,67592.0,off,6.0,203116.0,212350.0,f,
7,BJFJAM,True,,,,,,,27064.0,214150.0,240207.00000000003,26057.00000000003,-1006.9999999999709,86.0,-920.9999999999709,,7.0,73474.0,76364.0,off,7.0,214064.0,241128.0,t,
8,BJFJAM,True,,,,,,,13430.0,242393.00000000003,250670.00000000003,8277.0,-5153.0,-604.9999999999709,-5757.999999999971,,8.0,110092.0,113594.0,off,8.0,242998.0,256428.0,t,
0,7G5JR3,True,,,,,,,33254.0,5361.000000000001,37830.00000000001,32469.000000000007,-784.9999999999927,-83.99999999999909,-868.9999999999927,1.0,0.0,45342.0,50622.0,off,0.0,5445.0,38699.0,f,
1,7G5JR3,True,,,,,,,46662.0,40379.00000000001,85428.00000000001,45049.00000000001,-1612.9999999999927,185.00000000000728,-1427.9999999999854,,1.0,93984.0,96921.0,off,1.0,40194.0,86856.0,t,
2,7G5JR3,True,,,,,,,31241.0,90555.0,121581.0,31026.0,-215.0,-228.0,-443.0,,2.0,120506.0,122024.0,off,2.0,90783.0,122024.0,f,
3,7G5JR3,True,,,,,,,46398.0,124103.00000000001,169150.0,45046.999999999985,-1351.0000000000146,56.00000000001455,-1295.0,,3.0,252153.0,257004.0,off,3.0,124047.0,170445.0,t,
4,7G5JR3,True,,,,,,,38303.0,201349.00000000003,239318.0,37968.99999999997,-334.0000000000291,-115.9999999999709,-450.0,,4.0,257961.0,267003.0,off,4.0,201465.0,239768.0,f,
5,7G5JR3,True,,,,,,,46728.0,241698.0,286756.0,45058.0,-1670.0,204.0,-1466.0,,5.0,269940.0,278355.0,off,5.0,241494.0,288222.0,t,
6,7G5JR3,True,,,,,,,30185.0,291874.0,321701.0,29827.0,-358.0,-110.0,-468.0,,6.0,280665.0,283998.0,off,6.0,291984.0,322169.0,f,
7,7G5JR3,True,,,,,,,48411.0,324302.0,369378.00000000006,45076.00000000006,-3334.999999999942,539.0,-2795.999999999942,,7.0,284691.0,288222.0,off,7.0,323763.0,372174.0,t,
8,7G5JR3,True,,,,,,,33561.0,432303.00000000006,464767.00000000006,32464.0,-1097.0,-326.9999999999418,-1423.9999999999418,,8.0,296934.0,303633.0,off,8.0,432630.0,466191.0,f,
9,7G5JR3,True,,,,,,,45893.0,467258.00000000006,512314.00000000006,45056.0,-837.0,209.0000000000582,-627.9999999999418,,9.0,306636.0,319011.0,off,9.0,467049.0,512942.0,t,
10,7G5JR3,True,,,,,,,32802.0,517441.00000000006,548469.0,31027.99999999994,-1774.0000000000582,-229.9999999999418,-2004.0,,10.0,320298.0,322169.0,off,10.0,517671.0,550473.0,f,
11,7G5JR3,True,,,,,,,44633.0,550898.0,595954.0000000001,45056.00000000012,423.0000000001164,-400.0,23.000000000116415,,11.0,328515.0,337062.0,off,11.0,551298.0,595931.0,t,
0,5G7cHW,False,,,,,,,33272.0,,,,,,,1.0,0.0,17544.0,19924.0,off,0.0,5202.0,38474.0,f,
1,5G7cHW,False,,,,,,,46852.0,,,,,,,,1.0,21080.0,27404.0,e,1.0,40018.0,86870.0,t,
2,5G7cHW,False,,,,,,,31538.0,,,,,,,,2.0,34374.0,38474.0,e,2.0,90644.0,122182.0,f,
3,5G7cHW,False,,,,,,,47600.0,,,,,,,,3.0,49946.0,52122.0,off,3.0,123828.0,171428.0,t,
4,5G7cHW,False,,,,,,,38746.0,,,,,,,,4.0,57392.0,60282.0,off,4.0,198254.0,237000.0,f,
5,5G7cHW,False,,,,,,,45886.0,,,,,,,,5.0,96900.0,103190.0,off,5.0,238782.0,284668.0,t,
6,5G7cHW,False,,,,,,,29830.0,,,,,,,,6.0,118116.0,120258.0,off,6.0,289170.0,319000.0,f,
7,5G7cHW,False,,,,,,,47260.0,,,,,,,,7.0,129880.0,132022.0,off,7.0,321470.0,368730.0,t,
0,V56UPN,True,,,,,,,46134.0,5336.0,50474.00000000001,45138.00000000001,-995.9999999999927,122.0,-873.9999999999927,B,0.0,48000.0,49170.0,off,0.0,5214.0,51348.0,f,
