,child_name,same_num_trials,annotator,manual_trial_onset,manual_trial_offset,manual_trial_ordinal,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff
9,NFYDcF,True,GS,340238.0,397902.0,9.0,57664.0,339196.0,383083.0,43887.0,-13777.0,-1042.0,-14819.0
10,NFYDcF,True,GS,398276.0,410516.0,10.0,12240.0,398578.00000000006,409511.0,10932.999999999942,-1307.0000000000582,302.0000000000582,-1005.0
11,NFYDcF,True,GS,411672.0,420144.0,11.0,8472.0,411783.0,420147.00000000006,8364.000000000058,-107.99999999994179,111.0,3.0000000000582077
0,N62TMP,True,AW,5236.0,37365.0,2.0,32129.0,6023.000000000001,35835.0,29812.0,-2317.0,787.0000000000009,-1530.0
1,N62TMP,True,AW,37366.0,85237.0,3.0,47871.0,39091.0,84183.0,45092.0,-2779.0,1725.0,-1054.0
2,N62TMP,True,AW,89726.0,129471.0,5.0,39745.0,89908.0,127853.00000000001,37945.000000000015,-1799.9999999999854,182.0,-1617.9999999999854
3,N62TMP,True,AW,129472.0,185945.0,6.0,56473.0,132319.00000000003,177370.0,45050.99999999997,-11422.00000000003,2847.000000000029,-8575.0
4,N62TMP,True,AW,197064.0,230757.0,8.0,33693.0,198532.0,229555.0,31023.0,-2670.0,1468.0,-1202.0
5,N62TMP,True,AW,230758.0,279955.0,9.0,49197.0,232396.00000000003,277457.0,45060.99999999997,-4136.000000000029,1638.000000000029,-2498.0
6,N62TMP,True,AW,284852.0,316777.0,11.0,31925.0,283021.0,315489.00000000006,32468.00000000006,543.0000000000582,-1831.0,-1287.9999999999418
7,N62TMP,True,AW,316778.0,366961.0,12.0,50183.0,318307.0,363373.00000000006,45066.00000000006,-5116.999999999942,1529.0,-3587.999999999942
8,N62TMP,True,AW,384064.0,416397.0,14.0,32333.0,384205.00000000006,414024.0,29818.99999999994,-2514.000000000058,141.0000000000582,-2373.0
9,N62TMP,True,AW,416398.0,463623.0,15.0,47225.0,416829.0,461901.0,45072.0,-2153.0,431.0,-1722.0
10,N62TMP,True,AW,468316.0,506667.0,17.0,38351.0,467232.0,505192.0,37960.0,-391.0,-1084.0,-1475.0
11,N62TMP,True,AW,506668.0,552981.0,18.0,46313.0,507804.00000000006,552864.0,45059.99999999994,-1253.0000000000582,1136.0000000000582,-117.0
0,4SYGJG,True,AW,5577.0,39236.0,2.0,33659.0,5526.000000000001,37996.0,32470.0,-1189.0,-50.99999999999909,-1240.0
1,4SYGJG,True,AW,39237.0,86723.0,3.0,47486.0,40705.00000000001,85757.0,45051.99999999999,-2434.0000000000073,1468.0000000000073,-966.0
2,4SYGJG,True,AW,91047.0,123353.0,5.0,32306.0,90899.0,121880.00000000001,30981.000000000015,-1324.9999999999854,-148.0,-1472.9999999999854
3,4SYGJG,True,AW,123354.0,173217.0,6.0,49863.0,124458.00000000001,169502.0,45043.999999999985,-4819.000000000015,1104.0000000000146,-3715.0
4,4SYGJG,True,AW,195525.0,234266.0,8.0,38741.0,195322.0,233270.0,37948.0,-793.0,-203.0,-996.0
5,4SYGJG,True,AW,234267.0,282083.0,9.0,47816.0,235794.0,280887.0,45093.0,-2723.0,1527.0,-1196.0
6,4SYGJG,True,AW,286176.0,318086.0,11.0,31910.0,286053.0,315836.0,29783.0,-2127.0,-123.0,-2250.0
7,4SYGJG,True,AW,318087.0,365078.0,12.0,46991.0,318408.0,363478.0,45070.0,-1921.0,321.0,-1600.0
8,4SYGJG,True,AW,388641.0,425138.0,14.0,36497.0,390569.0,423031.0,32462.0,-4035.0,1928.0,-2107.0
9,4SYGJG,True,AW,425139.0,472757.0,15.0,47618.0,425698.00000000006,470943.00000000006,45245.0,-2373.0,559.0000000000582,-1813.9999999999418
10,4SYGJG,True,AW,477411.0,509783.0,17.0,32372.0,477374.0,508372.0,30998.0,-1374.0,-37.0,-1411.0
11,4SYGJG,True,AW,509784.0,555980.0,18.0,46196.0,510827.00000000006,555866.0,45038.99999999994,-1157.0000000000582,1043.0000000000582,-114.0
0,PN3WdR,True,GS,6290.0,53244.0,0.0,46954.0,7289.000000000001,52391.00000000001,45102.00000000001,-1851.9999999999927,999.0000000000009,-852.9999999999927
1,PN3WdR,True,GS,57868.0,104006.0,1.0,46138.0,57280.0,102385.0,45105.0,-1033.0,-588.0,-1621.0
2,PN3WdR,True,GS,108188.0,130376.0,2.0,22188.0,107545.0,127614.0,20069.0,-2119.0,-643.0,-2762.0
3,PN3WdR,True,GS,133654.0,178942.0,3.0,45288.0,132424.0,177542.0,45118.0,-170.0,-1230.0,-1400.0
4,PN3WdR,True,GS,183566.0,228922.0,4.0,45356.0,182399.0,227515.00000000003,45116.00000000003,-239.9999999999709,-1167.0,-1406.999999999971
5,PN3WdR,True,GS,232900.0,244324.0,5.0,11424.0,232260.00000000003,242333.00000000003,10073.0,-1351.0,-639.9999999999709,-1990.999999999971
6,PN3WdR,True,GS,249356.0,294338.0,6.0,44982.0,247146.00000000003,292270.00000000006,45124.00000000003,142.0000000000291,-2209.999999999971,-2067.999999999942
7,PN3WdR,True,GS,298894.0,341088.0,7.0,42194.0,297189.0,338381.0,41192.0,-1002.0,-1705.0,-2707.0
8,PN3WdR,True,GS,342088.0,390320.0,8.0,48232.0,341697.0,386807.0,45110.0,-3122.0,-391.0,-3513.0
9,PN3WdR,True,GS,391578.0,439416.0,9.0,47838.0,391186.00000000006,436311.00000000006,45125.0,-2713.0,-391.9999999999418,-3104.999999999942
10,PN3WdR,True,GS,440538.0,487050.0,10.0,46512.0,439682.0,484801.00000000006,45119.00000000006,-1392.9999999999418,-856.0,-2248.999999999942
11,PN3WdR,True,GS,488308.0,527816.0,11.0,39508.0,487134.0,525605.0,38471.0,-1037.0,-1174.0,-2211.0
12,PN3WdR,True,GS,542538.0,587588.0,12.0,45050.0,540456.0,585577.0,45121.0,71.0,-2082.0,-2011.0
13,PN3WdR,True,GS,588506.0,628754.0,13.0,40248.0,587801.0,628768.0,40967.0,719.0,-705.0,14.0
0,JYcJHJ,True,AW,5338.0,38045.0,2.0,32707.0,5279.0,36306.00000000001,31027.000000000007,-1679.9999999999927,-59.0,-1738.9999999999927
1,JYcJHJ,True,AW,38046.0,85713.0,3.0,47667.0,39018.0,84081.0,45063.0,-2604.0,972.0,-1632.0
2,JYcJHJ,True,AW,88978.0,120563.0,5.0,31585.0,89345.0,119171.0,29826.0,-1759.0,367.0,-1392.0
3,JYcJHJ,True,AW,120564.0,168469.0,6.0,47905.0,121479.00000000001,166513.0,45033.999999999985,-2871.0000000000146,915.0000000000146,-1956.0
4,JYcJHJ,True,AW,179792.0,214029.0,8.0,34237.0,180036.0,212532.0,32496.0,-1741.0,244.0,-1497.0
5,JYcJHJ,True,AW,214030.0,261017.0,9.0,46987.0,214902.00000000003,259973.0,45070.99999999997,-1916.000000000029,872.0000000000291,-1044.0
6,JYcJHJ,True,AW,265574.0,304333.0,11.0,38759.0,265007.0,302982.0,37975.0,-784.0,-567.0,-1351.0
7,JYcJHJ,True,AW,304334.0,352579.0,12.0,48245.0,305418.0,350499.0,45081.0,-3164.0,1084.0,-2080.0
8,JYcJHJ,True,AW,380494.0,412793.0,14.0,32299.0,380204.0,411216.0,31012.0,-1287.0,-290.0,-1577.0
