,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s)
161,VRJRYC,,10,testA,barrier-jump,0.9222386855471648,27.782,2.75
162,WUTVC2,,1,fam,barrier-jump,0.7144422981869522,51.386,4.312
163,WUTVC2,,2,fam,barrier-jump,0.72673239496847,56.183,1.161
164,WUTVC2,,3,fam,barrier-jump,0.6852070587065519,48.967,4.809
165,WUTVC2,,4,fam,barrier-jump,0.7415158263174817,16.648,0.464
166,WUTVC2,,5,fam,barrier-jump,0.7473552664764208,54.083,2.993
167,WUTVC2,,6,fam,barrier-jump,0.7535247662298971,53.641,2.637
168,WUTVC2,,7,testA,barrier-jump,0.7219333258413133,22.178,0.335
169,WUTVC2,,8,testB,barrier-jump,0.7180833408992581,57.632,0.607
170,WUTVC2,,9,testA,barrier-jump,0.7510698532823715,42.947,1.058
171,WUTVC2,,10,testB,barrier-jump,0.7023967135925682,15.917,0.923
172,XFWXFW,,1,fam,barrier-jump,0.909858070463274,59.99,0.0
173,XFWXFW,,2,fam,barrier-jump,0.8989979030027804,60.065,0.0
174,XFWXFW,,3,fam,barrier-jump,0.9073961148761802,19.01,3.883
175,XFWXFW,,4,fam,barrier-jump,0.896911050438881,48.486,8.351
176,XFWXFW,,5,fam,barrier-jump,0.822232799110364,23.858,18.775
177,XFWXFW,,6,fam,barrier-jump,0.8599516242044826,38.364,18.362
178,XFWXFW,,7,testA,barrier-jump,0.8291637298257594,23.084,14.996
179,XFWXFW,,8,testB,barrier-jump,0.8664982539826426,7.556,5.947
180,XFWXFW,,9,testA,barrier-jump,0.888807090908982,2.0,9.567
181,XFWXFW,,10,testB,barrier-jump,0.8318732746367185,6.15,6.528
182,YFJCR6,,1,fam,barrier-jump,0.9576255184947152,53.444,5.9
183,YFJCR6,,2,fam,barrier-jump,0.9486916448562912,48.446,10.688
184,YFJCR6,,3,fam,barrier-jump,0.9242733106588238,47.149,11.616
185,YFJCR6,,4,fam,barrier-jump,0.9224157242233272,41.98,8.534
186,YFJCR6,,5,fam,barrier-jump,0.9109568210022008,40.211,13.594
187,YFJCR6,,6,fam,barrier-jump,0.906596055323327,28.561,14.264
188,YFJCR6,,7,fam,barrier-jump-repeat-1,0.899235161482741,21.183,10.691
189,YFJCR6,,8,testB,barrier-jump,0.9093060782732674,51.509,7.259
190,YFJCR6,,9,testA,barrier-jump,0.9109338080552724,12.864,7.794
191,YFJCR6,,10,testB,barrier-jump,0.8867262117237898,29.99,8.537
192,YFJCR6,,11,testA,barrier-jump,0.9256604323639488,18.162,5.765
193,ZCEHSD,,1,fam,barrier-jump,0.9307042331950752,39.011,15.643
194,ZCEHSD,,2,fam,barrier-jump,0.952672237699682,2.783,5.005
